SubjectArea,Subject,Band,Term,Definition
Mathematics,Mathematics,Foundation to Year 10,logarithmic scales,Scales where successive endpoint values of intervals increase by a constant factor (multiplicatively). Contrast with linear scales in which the increase is a constant amount.
Mathematics,Mathematics,Foundation to Year 10,mass,The measure for how much matter an object contains. The SI unit for mass is the kilogram (kg).
Mathematics,Mathematics,Foundation to Year 10,mathematical modelling,"A mathematical process involving the identification of a real-world problem, formulating and finding a solution to the problem mathematically using knowledge and understanding of mathematical concepts, structures and relationships, interpreting and communicating the mathematical solution(s) in terms of the situation. As students mathematical modelling skills become more sophisticated they begin to consider assumptions, choose variables, justify decisions and evaluate the effectiveness of the model."
Mathematics,Mathematics,Foundation to Year 10,mean,The sum of values in a data set divided by the total number of values in the data set. Also called the average.
Mathematics,Mathematics,Foundation to Year 10,measure,"A record of the magnitude of an attribute (such as weight, length, duration and likelihood) associated with an object or event."
Mathematics,Mathematics,Foundation to Year 10,measure of central tendency,"A statistic that is used to summarise a data set. There are 3 common measures of centre for a data set: mode, median and mean."
Mathematics,Mathematics,Foundation to Year 10,measure of turn,A measurement of rotation from an initial starting position. A turn can be a fraction of a circle (quarter turn) or complete rotation (revolution). It can be directional (clockwise or anti-clockwise).
Mathematics,Mathematics,Foundation to Year 10,median,The value in a set of ordered data that divides the data into 2 equal parts. It is often called the ‘middle value’.
Mathematics,Mathematics,Foundation to Year 10,mixed numeral,"A form of representation of a rational number (also called a mixed fraction or mixed number) composed of an integer and a proper fraction, i.e. a fraction with a smaller numerator than denominator, e.g.2⅗."
Mathematics,Mathematics,Foundation to Year 10,mode,"The most frequently occurring value in a set of data. There can be more than one mode. When there are 2 modes, the data set is said to be bimodal."
Mathematics,Mathematics,Foundation to Year 10,modelling,"Using mathematical concepts, structures and relationships to describe and characterise, or model, a situation in a way that captures its essential features."
Mathematics,Mathematics,Foundation to Year 10,multiples,A multiple of a number is the product of that number and an integer. A multiple of a real number x is any number that is a product of x and an integer.
Mathematics,Mathematics,Foundation to Year 10,multiplication facts,"The results associated with the products of pairs of natural numbers from 0 to 9, associated with reasons. They are foundational to arithmetic."
Mathematics,Mathematics,Foundation to Year 10,multiplicative,"Problems or contexts that involve multiplication or division, e.g. calculating the number of seats in a theatre that has 30 rows of 24 seats."
Mathematics,Mathematics,Foundation to Year 10,natural numbers,"The set N = {0, 1, 2, 3 …} or N = {1, 2, 3 …} depending on whether counting is started at 0 or 1. The elements of N are also called the counting numbers, used to count the number of elements in finite sets."
Mathematics,Mathematics,Foundation to Year 10,nets,"Plane figures that can be folded to form a polyhedron. More specifically, 2-dimensional representations comprising joined shapes (the faces) that can be folded (along edges) to form the object."
Mathematics,Mathematics,Foundation to Year 10,network,"A set of points (vertices or nodes) some of which are joined by lines or curves (edges) which sometimes enclose regions (faces), e.g. road networks, a family tree or the edges lining a tennis court."
Mathematics,Mathematics,Foundation to Year 10,number line,A line that gives a pictorial representation of real numbers.
Mathematics,Mathematics,Foundation to Year 10,number sentence,"A statement of equality or inequality using numbers, operations and common symbols,
e.g. 8+5=13 and 16 –☐= 10"
Mathematics,Mathematics,Foundation to Year 10,numeral,"The designation of a number in a given language, e.g. the number ‘three’ is designated by the Hindu-Arabic numeral 3, the Roman numeral III, and the Chinese numeral 三."
Mathematics,Mathematics,Foundation to Year 10,numerical data,"Data associated with a numerical variable. It can be discrete or continuous, e.g. number of siblings in a family or heights of students in the class."
Mathematics,Mathematics,Foundation to Year 10,numerical variables,"Variables with values that are numbers, and for which measuring and arithmetic processes such as adding and subtracting, or calculating an average, make sense."
Mathematics,Mathematics,Foundation to Year 10,object,"A solid or 3-dimensional skeletal representation composed of a number of faces, edges, vertices or closed surfaces, such as a prism, pyramid, cylinder or sphere. The term 3-dimensional shape is also used."
Mathematics,Mathematics,Foundation to Year 10,obtuse angle,"An angle that measures between 90 and 180 degrees, i.e. between one and 2 right angles."
Mathematics,Mathematics,Foundation to Year 10,odd number,"An integer that is not divisible by 2. The odd numbers are {… -5, -3,-1, 1, 3, 5, …}."
Mathematics,Mathematics,Foundation to Year 10,online tools,"Digital hardware, software, platforms and resources that are connected and support communications between users. Examples of online tools include websites for online shopping and fitness apps."
Mathematics,Mathematics,Foundation to Year 10,operation,"The process of combining numbers or expressions. Operations are arithmetic – addition, subtraction, multiplication and division – and also include exponentiation and substitution."
Mathematics,Mathematics,Foundation to Year 10,order of operations,"A set of conventions for evaluating expressions involving several operations. Operations in brackets are first, followed by exponents, multiplication/division, then addition/subtraction left to right."
Mathematics,Mathematics,Foundation to Year 10,ordinal categorical data,"Categorical data that has a ranking or order such as Likert scales, clothing sizes, placegetters in a race."
Mathematics,Mathematics,Foundation to Year 10,outlier,A data value that appears to stand out from the other members of the data set by being unusually high or low.
Mathematics,Mathematics,Foundation to Year 10,parallel lines,"Two lines L and M in a plane that have no point of intersection in that plane, written L || M."
Mathematics,Mathematics,Foundation to Year 10,parallelogram,A quadrilateral in which opposite sides are parallel and equal in length. The quadrilateral ABCD shown is a parallelogram because BA || CD and AD || BC.
Mathematics,Mathematics,Foundation to Year 10,parameters,A factor for which a specific value defines a condition or constraint for a function or relation.
